Book,Lots,Underlying,Maturity,Strike,Type,Mult,Qty
options,60.0,NIFTY,19-May-26,23300,PE,65.0,3900.0
options,-20.0,NIFTY,19-May-26,23600,PE,65.0,-1300.0
options,-20.0,NIFTY,19-May-26,23650,PE,65.0,-1300.0
options,-25.0,NIFTY,19-May-26,23700,PE,65.0,-1625.0
options,-15.0,NIFTY,19-May-26,23750,CE,65.0,-975.0
options,-20.0,NIFTY,19-May-26,23800,CE,65.0,-1300.0
options,-20.0,NIFTY,19-May-26,23850,CE,65.0,-1300.0
options,60.0,NIFTY,19-May-26,24150,CE,65.0,3900.0
delta,-47,NIFTY,19-May-26,23700,CE,65.0,-3055.0
delta,47,NIFTY,19-May-26,23700,PE,65.0,3055.0
